입주형태통합코드,자산,부채,경상소득
3,210928,47640,5744
3,1313,600,1764
3,1130,0,6753
3,10350,9000,4551
3,3060,1800,4973
3,29946,0,17889
3,582,700,3868
3,284,2300,1089
3,19657,400,2781
3,780,0,1874
3,5275,3092,6066
3,1236,50,2278
3,4168,250,5608
3,7390,0,3829
3,157,0,1381
3,3100,1700,1316
3,2180,0,925
3,14100,400,5006
3,3358,0,2331
3,2110,0,4003
3,5630,1000,3832
3,1630,4422,6528
3,12586,2362,4487
3,6920,30,3653
3,161140,72000,2255
3,135900,20000,61098
3,3040,200,1680
3,1050,0,685
3,42150,28000,1881
3,9050,5400,6181
3,4430,2530,2776
3,5818,2500,5290
3,1790,600,7342
3,1850,0,3893
3,35350,7041,10129
3,560,0,2143
3,18200,8000,7417
3,22250,4300,4538
3,4221,3000,1782
3,2350,0,1876
3,3650,0,1652
3,4810,1000,2986
3,1760,1008,5122
3,1010,0,861
3,200,0,2000
3,4731,0,3646
3,16100,0,6679
3,710,0,2532
3,625,0,1319
3,50237,0,5340
3,90300,5000,1177
3,158258,62790,10813
3,420,151,2382
3,12574,0,169
3,2900,0,876
3,2420,2150,2400
3,6096,400,3200
3,9300,16800,6340
3,2050,0,1367
3,600,0,4380
3,16840,1000,8675
3,5738,0,4305
3,3706,0,3854
3,616,200,3352
3,6067,870,6719
3,2310,330,5247
3,15690,0,5124
3,4660,1000,10595
3,9120,9000,2004
3,8128,0,8861
3,1300,3150,7499
3,586,0,1657
3,1300,0,2538
3,710,0,2298
3,6380,1000,7143
3,2100,0,4656
3,219,0,2082
3,1510,2120,1201
3,11814,4000,5323
3,2780,750,3135
3,9230,0,4824
3,23300,0,6155
3,3990,0,2361
3,700,2500,752
3,11521,15000,5809
3,405,0,567
3,800,0,3264
3,340,0,1256
3,3400,0,6631
3,1002,0,1580
3,25634,0,5531
3,4789,0,2983
3,6947,0,3716
3,590,0,1292
3,2050,44,3659
3,9460,60,3882
3,335,0,4038
3,20440,1560,4380
3,2550,0,718
3,3150,0,2902
3,54800,17000,13117
3,1833,0,673
3,2600,0,2597
3,680,0,943
3,23773,26769,5564
3,2752,5000,5658
3,110,1000,1147
3,104,0,1808
3,5980,0,2485
3,780,0,1467
3,33020,14000,6226
3,3200,20,3673
3,14460,100,4127
3,659,500,3989
3,630,0,3031
3,100,1000,2006
3,77010,44640,5957
3,500,110,2223
3,2180,800,5759
3,855,1134,1581
3,4674,400,978
3,150,500,1673
3,350,0,2540
3,570,0,1004
3,400,0,809
3,9360,9930,5521
3,530,0,2126
3,10408,300,7569
3,18170,0,4514
3,3520,0,3562
3,138950,0,14169
3,18929,500,10053
3,8855,5105,2414
3,26314,10000,9041
3,550,60,1455
3,182,0,739
3,1520,0,2297
3,37205,0,5441
3,805,1100,3838
3,9640,330,3260
3,2600,0,5633
3,17477,10200,3853
3,32570,8000,7423
3,6200,0,4182
3,13000,0,2488
3,2342,0,2497
3,2660,3000,3630
3,4240,0,3469
3,30,0,1022
3,5420,0,5229
3,3033,2000,2706
3,12090,0,2665
3,2790,30,3147
3,15435,6500,5025
3,1940,1600,2545
3,334,0,427
3,1450,0,6006
3,10,0,1037
3,180,0,1089
3,3450,0,1658
3,2800,0,3590
3,3840,600,3944
3,8000,0,4809
3,832,350,1116
3,400,160,1611
3,1074,0,1200
3,11600,0,5309
3,865,0,1289
3,3990,86,1436
3,5270,0,1388
3,45,760,5824
3,160,0,1022
3,4300,0,1344
3,8560,0,6170
3,17790,7000,4821
3,4880,2100,5197
3,5701,4700,2134
3,56330,200,5758
3,1350,0,1469
3,1176,0,1200
3,40260,5600,4883
3,10,0,1800
3,500,800,2724
3,1000,1000,1999
3,7286,3000,3143
3,4000,0,4210
3,49389,17,5682
3,198540,100000,8334
3,13552,5000,1249
3,18600,0,11084
3,1500,0,3138
3,1844,21,4266
3,115140,53000,4724
3,1030,0,1620
3,4796,0,524
3,18200,0,3821
3,710,0,1916
3,20696,0,9071
3,17062,2700,3802
3,3996,0,4823
3,5215,0,4148
3,90146,20150,21801
3,3030,4500,1116
3,17940,1817,10281
3,290,0,843
3,16223,10000,1048
3,6610,0,52
3,30,0,728
3,116771,15600,5659
3,17444,3500,8817
3,601,700,2088
3,750,901,1894
3,8075,2800,15920
3,600,400,2401
3,2900,0,2431
3,5100,5000,1449
3,3588,1030,7384
3,505,10000,3601
3,1460,500,2916
3,47340,100,9158
3,5400,0,1720
3,1130,4010,3928
3,15520,6100,9031
3,1800,0,1010
3,9650,2300,4117
3,830,1534,6127
3,520,277,1973
3,2635,600,785
3,24100,2530,4806
3,5024,0,3255
3,1164,0,2200
3,22820,0,5396
3,2015,0,1203
3,2900,1725,3121
3,5260,4000,5617
3,28150,0,10024
3,3928,0,1776
